well,species,stage,treatment,conc,timepoint,optical_flow,worm_area
A01,Sma,Miracidia,DMSO,0.1p,30min,1488228822,58362
A02,Sma,Miracidia,PZQ,10uM,30min,1341003242,38423
A03,Sma,Miracidia,PZQ,1uM,30min,1463889876,56819
A04,Sma,Miracidia,PZQ,0.1uM,30min,1470536491,54385
A05,Sma,Miracidia,PZQ,0.01uM,30min,1395647321,33651
A06,Sma,Miracidia,PZQ,0.001uM,30min,1504586619,52438
B01,Sma,Miracidia,DMSO,0.1p,30min,1509559356,39226
B02,Sma,Miracidia,PZQ,10uM,30min,1285184756,54999
B03,Sma,Miracidia,PZQ,1uM,30min,1454325161,66692
B04,Sma,Miracidia,PZQ,0.1uM,30min,1511260998,52186
B05,Sma,Miracidia,PZQ,0.01uM,30min,1438703320,46522
B06,Sma,Miracidia,PZQ,0.001uM,30min,1425308101,46176
C01,Sma,Miracidia,DMSO,0.1p,30min,1415082271,64921
C02,Sma,Miracidia,PZQ,10uM,30min,1259676117,29240
C03,Sma,Miracidia,PZQ,1uM,30min,1384279062,39289
C04,Sma,Miracidia,PZQ,0.1uM,30min,1459115775,35404
C05,Sma,Miracidia,PZQ,0.01uM,30min,1394796552,39616
C06,Sma,Miracidia,PZQ,0.001uM,30min,1354708114,47758